Year,Month,Day,Hour,Event_Latitude,Event_Longitude,Grid_Points,Event_Index,Event_Type
2002.0,12.0,25.0,2.0,31.7631578947,-90.5000052632,19,248,3000
2002.0,12.0,26.0,4.0,35.8275862069,-71.7931206897,29,249,3000
2003.0,1.0,24.0,4.0,31.6666666667,-66.5952571429,21,251,3000
2003.0,3.0,17.0,1.0,35.1842105263,-117.342105263,19,253,3000
2003.0,12.0,9.0,2.0,33.375,-108.2,20,255,3000
2003.0,12.0,27.0,1.0,33.475,-115.2,20,257,3000
2004.0,1.0,11.0,2.0,32.45,-73.80003,20,259,3000
2004.0,2.0,7.0,2.0,34.3888888889,-89.7777944444,18,260,3000
2004.0,2.0,16.0,1.0,32.3947368421,-82.1842315789,19,261,3000
2004.0,11.0,3.0,1.0,40.0454545455,-55.6136681818,22,264,3000
2004.0,11.0,5.0,1.0,39.5833333333,-80.0277944444,18,265,3000
2004.0,11.0,28.0,2.0,36.88,-115.5,25,269,3000
2004.0,11.0,29.0,4.0,38.4444444444,-99.3148222222,27,270,3000
2005.0,2.0,3.0,3.0,34.7368421053,-94.7105368421,19,275,3000
2005.0,3.0,28.0,1.0,30.0,-91.9444555556,18,276,3000
2005.0,11.0,2.0,2.0,41.1363636364,-78.5000227273,22,277,3000
2005.0,12.0,12.0,2.0,35.2045454545,-118.795454545,22,280,3000
2006.0,2.0,12.0,1.0,31.347826087,-95.1956565217,23,284,3000
2007.0,1.0,6.0,4.0,36.6458333333,-99.8125041667,24,291,3000
2007.0,1.0,23.0,2.0,33.2361111111,-96.5555555556,36,292,3000
2007.0,2.0,15.0,2.0,31.5,-101.339289286,28,295,3000
2007.0,3.0,5.0,1.0,31.8125,-85.166675,24,297,3000
2008.0,1.0,3.0,3.0,34.9285714286,-67.9047761905,21,299,3000
2008.0,3.0,17.0,2.0,35.5526315789,-59.7368789474,19,301,3000
2008.0,11.0,15.0,3.0,33.6944444444,-92.4166722222,18,303,3000
2010.0,1.0,14.0,1.0,35.1428571429,-119.976190476,21,311,3000
2010.0,1.0,20.0,2.0,34.0892857143,-129.410714286,28,313,3000
2010.0,2.0,6.0,1.0,32.2368421053,-83.9210736842,19,315,3000
2010.0,2.0,9.0,4.0,31.5694444444,-103.638891667,36,317,3000
2010.0,2.0,10.0,2.0,33.4318181818,-85.0454636364,22,318,3000
2010.0,2.0,12.0,1.0,32.9210526316,-62.5263368421,19,319,3000
2010.0,2.0,18.0,1.0,35.5384615385,-61.1923384615,26,320,3000
2010.0,12.0,27.0,3.0,33.9761904762,-70.8095380952,21,326,3000
