EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10017305,PUTNAM CO., ,02/21/1980,1145,Hail,1.00, ,0,0,0,0,IN,CST, , ,C,133,T,0,0, , ,0,0,0, ,0, , ,02/21/1980,1145,39.65,-86.87, , ,"","",111
10017306,MARION CO., ,02/21/1980,1200,Hail,1.75, ,0,0,0,0,IN,CST, , ,C,97,T,0,0, , ,0,0,0, ,0, , ,02/21/1980,1200,39.73,-86.17, , ,"","",112
10017307,HENDRICKS CO., ,02/21/1980,1200,Hail,1.75, ,0,0,0,0,IN,CST, , ,C,63,T,0,0, , ,0,0,0, ,0, , ,02/21/1980,1200,39.62,-86.53, , ,"","",113
10017308,MORGAN CO., ,02/21/1980,1210,Hail,1.75, ,0,0,0,0,IN,CST, , ,C,109,ATA,0,0, , ,0,0,0, ,0, , ,02/21/1980,1210,39.62,-86.37, , ,"","",114
10017309,MONTGOMERY CO., ,02/21/1980,1705,Hail,3.00, ,0,0,0,0,IN,CST, , ,C,107,ATA,0,0, , ,0,0,0, ,0, , ,02/21/1980,1705,40.03,-86.90, , ,"","",115
9977715,TALLAPOOSA CO., ,02/22/1980,1955,Hail,2.00, ,0,0,0,0,AL,CST, , ,C,123, ,0,0, , ,0,0,0, ,0, , ,02/22/1980,1955,32.93,-85.67, , ,"","",116
9977716,CHAMBERS CO., ,02/22/1980,1959,Hail,.75, ,0,0,0,0,AL,CST, , ,C,17,T,0,0, , ,0,0,0, ,0, , ,02/22/1980,1959,32.90,-85.38, , ,"","",117
10089937,CHATHAM CO., ,02/23/1980,1430,Thunderstorm Wind,0, ,0,0,0,0,NC,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,02/23/1980,1430,35.73,-79.47, , ,"","",118
10089938,ORANGE CO., ,02/23/1980,1515,Thunderstorm Wind,0, ,0,0,0,0,NC,CST, , ,C,135,T,0,0, , ,0,0,0, ,0, , ,02/23/1980,1515,36.05,-79.08, , ,"","",119
10153257,GREENSVILLE CO., ,02/23/1980,1530,Thunderstorm Wind,52, ,0,0,0,0,VA,CST, , ,C,81,ATA,0,0, , ,0,0,0, ,0, , ,02/23/1980,1530,36.72,-77.55, , ,"","",120
10153258,ISLE OF WIGHT CO., ,02/23/1980,1600,Thunderstorm Wind,52, ,0,0,0,0,VA,CST, , ,C,93,ATA,0,0, , ,0,0,0, ,0, , ,02/23/1980,1600,36.80,-76.73, , ,"","",121
10089939,HERTFORD CO., ,02/23/1980,1700,Tornado,0,F0,0,0,250,0,NC,CST, , ,C,91, ,0,0, , ,0,33,0, ,0, , ,02/23/1980,1700,36.40,-76.93, , ,"","",122
10089940,PITT CO., ,02/23/1980,1700,Tornado,0,F0,0,0,0,0,NC,CST, , ,C,147, ,0,0, , ,0,33,0, ,0, , ,02/23/1980,1700,35.62,-77.60, , ,"","",123
10089941,CRAVEN CO., ,02/23/1980,1730,Thunderstorm Wind,0, ,0,0,0,0,NC,CST, , ,C,49,T,0,0, , ,0,0,0, ,0, , ,02/23/1980,1730,35.35,-77.12, , ,"","",124
10089942,ONSLOW CO., ,02/23/1980,1733,Thunderstorm Wind,0, ,0,0,0,0,NC,CST, , ,C,133,NG,0,0, , ,0,0,0, ,0, , ,02/23/1980,1733,34.90,-77.53, , ,"","",125
10089943,CARTERET CO., ,02/23/1980,1843,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,31,ATA,0,0, , ,0,0,0, ,0, , ,02/23/1980,1843,34.78,-76.85, , ,"","",126
10089944,JONES CO., ,02/23/1980,1845,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,103,ATA,0,0, , ,0,0,0, ,0, , ,02/23/1980,1845,34.90,-77.23, , ,"","",127
10089945,NEW HANOVER CO., ,02/23/1980,1845,Thunderstorm Wind,0, ,0,0,0,0,NC,CST, , ,C,129,NG,0,0, , ,0,0,0, ,0, , ,02/23/1980,1845,34.68,-77.90, , ,"","",128
10089946,PENDER CO., ,02/23/1980,1900,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,141,T,0,0, , ,0,0,0, ,0, , ,02/23/1980,1900,34.57,-77.67, , ,"","",129
10089947,COLUMBUS CO., ,02/23/1980,1930,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,47,ATA,0,0, , ,0,0,0, ,0, , ,02/23/1980,1930,34.33,-78.22, , ,"","",130
10089948,ONSLOW CO., ,02/23/1980,1930,Thunderstorm Wind,0, ,0,0,0,0,NC,CST, , ,C,133,T,0,0, , ,0,0,0, ,0, , ,02/23/1980,1930,34.75,-77.42, , ,"","",131
10089949,ONSLOW CO., ,02/23/1980,2100,Thunderstorm Wind,0, ,0,0,0,0,NC,CST, , ,C,133,ATA,0,0, , ,0,0,0, ,0, , ,02/23/1980,2100,34.75,-77.42, , ,"","",132
10001875,TAYLOR CO., ,02/24/1980,1015,Hail,2.75, ,0,0,0,0,FL,CST, , ,C,123,T,0,0, , ,0,0,0, ,0, , ,02/24/1980,1015,30.12,-83.58, , ,"","",133
10001876,LAFAYETTE CO., ,02/24/1980,1050,Hail,1.75, ,0,0,0,0,FL,CST, , ,C,67,LCO,0,0, , ,0,0,0, ,0, , ,02/24/1980,1050,30.00,-83.33, , ,"","",134
10001877,PUTNAM CO., ,02/24/1980,1400,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,107, ,0,0, , ,1,10,0, ,0, , ,02/24/1980,1400,29.65,-81.60, , ,"","",135
10001878,LAFAYETTE CO., ,02/25/1980,330,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,67, ,0,0, , ,.5,10,0, ,0, , ,02/25/1980,330,30.05,-83.17, , ,"","",136
10089950,CLAY CO., ,02/25/1980,1615,Tornado,0,F0,0,0,250,0,NC,CST, , ,C,43, ,0,0, , ,0,33,0, ,0, , ,02/25/1980,1615,35.02,-78.57, , ,"","",137
10131183,BURNET CO., ,02/29/1980,1830,Thunderstorm Wind,60, ,0,0,0,0,TX,CST, , ,C,53,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,1830,30.87,-97.92, , ,"","",138
10131184,WILLIAMSON CO., ,02/29/1980,1940,Hail,.75, ,0,0,0,0,TX,CST, , ,C,491,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,1940,30.63,-97.67, , ,"","",139
10131185,WILLIAMSON CO., ,02/29/1980,1940,Thunderstorm Wind,50, ,0,0,0,0,TX,CST, , ,C,491,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,1940,30.50,-97.67, , ,"","",140
10131186,WILLIAMSON CO., ,02/29/1980,2015,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,491, ,0,0, , ,6.1,43,0, ,0, , ,02/29/1980,2015,30.52,-97.53,30.47,-97.45,"","",141
10131187,TRAVIS CO., ,02/29/1980,2030,Hail,.75, ,0,0,0,0,TX,CST, , ,C,453,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2030,30.30,-97.93, , ,"","",142
10131188,TRAVIS CO., ,02/29/1980,2030,Thunderstorm Wind,50, ,0,0,0,0,TX,CST, , ,C,453,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2030,30.30,-97.77, , ,"","",143
10131189,TRAVIS CO., ,02/29/1980,2040,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,453, ,0,0, , ,4.9,33,0, ,0, , ,02/29/1980,2040,30.47,-97.45,30.43,-97.38,"","",144
10131190,TRAVIS CO., ,02/29/1980,2040,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,453,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2040,30.30,-97.77, , ,"","",145
10131191,TRAVIS CO., ,02/29/1980,2040,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,453,T,0,0, , ,0,0,0, ,0, , ,02/29/1980,2040,30.30,-97.93, , ,"","",146
10131192,BASTROP CO., ,02/29/1980,2100,Hail,.75, ,0,0,0,0,TX,CST, , ,C,21,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2100,30.12,-97.32, , ,"","",147
10131193,BASTROP CO., ,02/29/1980,2100,Thunderstorm Wind,50, ,0,0,0,0,TX,CST, , ,C,21,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2100,30.12,-97.32, , ,"","",148
10131194,HAYS CO., ,02/29/1980,2130,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,209,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2130,30.08,-97.85, , ,"","",149
10131195,HAYS CO., ,02/29/1980,2130,Thunderstorm Wind,55, ,0,0,0,0,TX,CST, , ,C,209,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2130,30.08,-97.85, , ,"","",150
10131197,CALDWELL CO., ,02/29/1980,2150,Thunderstorm Wind,55, ,0,0,0,0,TX,CST, , ,C,55,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2150,29.92,-97.75, , ,"","",151
10131196,CALDWELL CO., ,02/29/1980,2150,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,55,ATA,0,0, , ,0,0,0, ,0, , ,02/29/1980,2150,29.92,-97.75, , ,"","",152
